Borough,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Hillingdon,2021-05-03,-27.857142857142858,-0.5714285714285714,90.0,-67.42857142857143,-35.714285714285715,11.571428571428571
Hillingdon,2021-05-04,-28.0,0.0,83.57142857142857,-67.28571428571429,-35.714285714285715,11.714285714285714
Hillingdon,2021-05-05,-27.571428571428573,0.5714285714285714,87.57142857142857,-67.14285714285714,-35.714285714285715,11.571428571428571
Hillingdon,2021-05-06,-26.857142857142858,0.8571428571428571,89.57142857142857,-67.0,-35.714285714285715,11.428571428571429
Hillingdon,2021-05-07,-27.142857142857142,0.2857142857142857,90.14285714285714,-67.14285714285714,-35.42857142857143,11.428571428571429
Hillingdon,2021-05-08,-28.428571428571427,-0.2857142857142857,75.71428571428571,-67.57142857142857,-35.42857142857143,12.0
Hillingdon,2021-05-09,-28.142857142857142,-0.42857142857142855,77.42857142857143,-67.28571428571429,-35.285714285714285,12.142857142857142
Hillingdon,2021-05-10,-27.857142857142858,1.2857142857142858,77.0,-66.14285714285714,-29.571428571428573,10.714285714285714
Hillingdon,2021-05-11,-27.285714285714285,0.7142857142857143,81.57142857142857,-66.0,-29.428571428571427,10.571428571428571
Hillingdon,2021-05-12,-26.285714285714285,1.2857142857142858,85.0,-65.85714285714286,-29.285714285714285,10.428571428571429
Hillingdon,2021-05-13,-27.285714285714285,0.0,76.14285714285714,-66.14285714285714,-29.714285714285715,10.571428571428571
Hillingdon,2021-05-14,-27.142857142857142,-0.14285714285714285,74.0,-66.14285714285714,-29.857142857142858,10.571428571428571
Hillingdon,2021-05-15,-26.428571428571427,-0.2857142857142857,79.14285714285714,-65.85714285714286,-29.714285714285715,10.285714285714286
Hillingdon,2021-05-16,-27.285714285714285,-0.42857142857142855,66.57142857142857,-66.14285714285714,-29.714285714285715,10.428571428571429
Hillingdon,2021-05-17,-27.0,-1.2857142857142858,63.57142857142857,-65.71428571428571,-29.571428571428573,10.285714285714286
Hillingdon,2021-05-18,-26.571428571428573,-1.4285714285714286,61.0,-65.28571428571429,-29.428571428571427,10.142857142857142
Hillingdon,2021-05-19,-26.285714285714285,-1.8571428571428572,59.57142857142857,-64.85714285714286,-29.285714285714285,10.0
Hillingdon,2021-05-20,-25.571428571428573,-1.5714285714285714,60.42857142857143,-64.28571428571429,-28.428571428571427,9.714285714285714
Hillingdon,2021-05-21,-25.285714285714285,-1.8571428571428572,53.0,-63.857142857142854,-28.285714285714285,9.714285714285714
